nome,preco,descricao,urlImagem
"Notebook Gamer Pro X",8999.90,"Notebook com placa de vídeo dedicada e 32GB RAM","https://images.unsplash.com/photo-1593642634315-48f5414c3ad9"
"Mouse Sem Fio Ergonômico",249.50,"Mouse com 6 botões e bateria de longa duração","https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80&w=1167"
"Teclado Mecânico RGB",550.00,"Teclado com switches blue e iluminação customizável","https://images.unsplash.com/photo-1587829741301-dc798b83add3"
"Monitor Ultrawide 34''",2800.00,"Monitor curvo com alta taxa de atualização","https://images.unsplash.com/photo-1591370874773-6702e8f12fd8?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80&w=1074"
"Headset Gamer 7.1",420.00,"Headset com som surround e microfone com cancelamento de ruído","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"Cadeira Gamer Confort",1200.00,"Cadeira ergonômica para longas sessões de jogos","https://images.unsplash.com/photo-1670946839270-cc4febd43b09?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80&w=688"
"Webcam 4K Pro",750.00,"Webcam com resolução 4K e foco automático","https://images.unsplash.com/photo-1623949556303-b0d17d198863?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80&w=1170"
"Microfone Condensador USB",350.00,"Microfone ideal para streaming e gravações","https://images.unsplash.com/photo-1485579149621-3123dd979885?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80&w=1631"
"SSD NVMe 1TB",600.00,"Unidade de estado sólido para performance máxima","https://images.unsplash.com/photo-1720048169387-84bbb8fd8ec9?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80&w=1170"
"Placa de Vídeo RTX 4070",4500.00,"Placa de vídeo de última geração para jogos em 4K","https://images.unsplash.com/photo-1706954867029-3798018ae194?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80&w=1074"
"Gabinete com Vidro Temperado",480.00,"Gabinete moderno com ótimo fluxo de ar","https://images.unsplash.com/photo-1587225036677-95fc14cd067a?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80&w=764"
"Mousepad Estendido",120.00,"Mousepad grande para teclado e mouse","https://images.unsplash.com/photo-1629429408209-1f912961dbd8?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80&w=1170"
"Cooler para Processador",250.00,"Cooler a ar de alta performance","https://images.unsplash.com/photo-1590650535293-1257c7c3b9b1"
"Fonte de 750W 80 Plus Gold",650.00,"Fonte de alimentação modular e eficiente","https://images.unsplash.com/photo-1587145820137-a9a35d2d4a8e"
"Kit Memória RAM 32GB DDR5",800.00,"Memórias de alta frequência para máxima performance","https://images.unsplash.com/photo-1592664474505-51c549ad15c5?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80&w=1170"
